segment_id,class,timestamp_start,timestamp_end,TP9_delta,TP9_theta,TP9_alpha,TP9_beta,TP9_gamma,AF7_delta,AF7_theta,AF7_alpha,AF7_beta,AF7_gamma,AF8_delta,AF8_theta,AF8_alpha,AF8_beta,AF8_gamma,TP10_delta,TP10_theta,TP10_alpha,TP10_beta,TP10_gamma
48,tiktok_under_4s_watched,1764170808.1597743,1764170809.51524,-66052808246.691666,-57473473096.35168,-159844376236.22946,84467910298.53564,9291940242.944534,-882079164270.4749,41179455864.02147,-57153581369.435,3573031289.3726945,-3237678077.305563,-172971799290.52707,22836284391.556374,18666141573.321274,-23298337919.77611,6965189914.871647,-157700320118.22275,-21219762391.236687,-7872755658.695123,-3284139413.125363,21262003995.35988
49,tiktok_under_4s_watched,1764170822.9252017,1764170824.9251633,-51409609847.95945,31092916606.965466,249044749645.7852,52174153115.478806,3359340769.1213984,-361439555793.4345,-42667801815.020905,14561974420.850224,-812455427.6067299,-4821821881.322299,-193739946432.60956,-2389895382.729361,-3798741584.065582,1492737649.3430076,-1420305230.3122084,-65946614501.187355,3176861028.4787745,461217846.74051833,4967053825.447823,-84643528308.28412
50,tiktok_under_4s_watched,1764170826.4876585,1764170827.561848,-70073430524.50687,46646074699.9509,271351176480.5162,11764602126.619102,3979650599.602661,-315415368269.6072,-153231146808.81686,23533131298.522167,2668706450.3286266,-6615442763.666163,-386813188966.32104,5277859717.106011,18811202776.34611,28694521340.342545,2993928080.6595745,-100817355364.88136,-8962471805.485628,-10449278653.868925,-2978730642.178536,-78690256318.88063
51,tiktok_under_4s_watched,1764170833.2844627,1764170834.6398573,-17113917666.941032,14454154680.07083,217498674428.31412,63913943231.02778,10346420344.33916,-156378372651.10236,-117915752866.93747,-6961314209.64459,13926383549.663832,11026674783.508152,-126778810439.89911,-60417736810.93211,-8556563028.365426,57233284715.1251,5734295264.718224,-28605329412.08404,3064892718.33572,-15543448621.549417,280869629.3526128,27992843784.83664
52,tiktok_under_4s_watched,1764170834.6437654,1764170835.62417,-20590767607.878716,15738726135.376236,111933813083.04076,105250954988.5695,-2626611676.3778906,-1113017037635.9795,-33219445544.321632,-13736448424.013643,-2748846810.6876144,4266878776.557952,-5733047841.074408,-26213155528.248077,-31571631037.883144,-34472670468.15333,-19697918451.28981,1129598711.1005464,15770308227.875795,-9135062952.20142,7481395694.035773,22390759884.362827
53,tiktok_under_4s_watched,1764170852.971205,1764170854.9711375,-41928796742.8662,65578143.2936429,11784039938.437975,6006489963.783114,-5366116717.684101,-40182751618.69046,-87492410587.2475,3926633661.5353537,-5258170794.972112,-15498484770.958054,48179575334.13032,1089823093.0744905,21696004974.353962,-4926121506.654787,-1205207639.9459376,-6102498140.420727,-7397166774.8857355,-11413431723.66029,-4881037207.395845,-82504079512.16895
54,tiktok_under_4s_watched,1764170855.5961194,1764170857.1390378,-27195116064.751667,10543595884.947205,-169780337059.2072,25435752620.80644,5827395057.575638,-77311979242.42937,-233409884135.9435,-24413760787.089367,288532904.0848555,-7770694098.8826885,118522577337.37065,-41274395331.40356,61835481996.96325,67384619380.50157,-3249480602.9128327,-28741676887.278023,-12978662903.490528,-18806754731.18643,1326273894.409196,125843732283.7086
55,tiktok_under_4s_watched,1764170897.7351182,1764170899.2780037,-60450557431.28653,-9360712886.211456,-298320068268.20886,-8618631902.566004,4151740912.525924,-403438293679.37964,-66897982590.81949,-27425426874.54233,-13450350526.232431,1883935456.809879,104850976.73645593,6446628063.99068,-22140050253.35655,-67545824186.232864,12599874646.35227,-7626110173.591087,-14255663932.53495,-7936039077.182323,555454407.4117323,142992655551.74445
56,tiktok_under_4s_watched,1764170906.078434,1764170907.152583,46756519084.31951,29655600648.423977,186140834948.62415,35608705072.60468,9345134473.416374,-440486030545.0691,-138060475117.08325,159243557.52258503,-716861337.9889147,10201773478.889389,-184214468958.93793,-32328209168.553272,20362880675.661312,38784015372.30987,11171131082.71761,-102451666953.932,346990951.0335269,2682299199.263445,-4765744563.408187,-272707620.41639954
57,tiktok_under_4s_watched,1764170907.1564898,1764170909.1564076,-18911724104.374027,-12632719836.722113,-202330479343.77332,-45919442174.4188,-484342003.77210516,-23730044336.617622,-112032401199.23488,-15876775226.195185,3930349639.933512,-3741907194.31663,20759451649.06695,-1120862289.656635,64179159349.3782,-24714178008.663807,-1919068794.870498,-78755633895.56834,-2932579315.5257826,-2608414259.5510077,-8294953885.543885,-8062520638.121184
58,baseline_2,1764170937.108385,1764171052.5070767,0.7071067811865476,-0.7071067811865476,0.7071067811865476,0.7071067811865476,-0.7071067811865475,0.7071067811865475,-0.7071067811865475,-0.7071067811865475,-0.7071067811865476,-0.7071067811865476,-0.7071067811865476,0.7071067811865475,-0.7071067811865476,0.7071067811865476,-0.7071067811865476,-0.7071067811865476,-0.7071067811865475,0.7071067811865475,-0.7071067811865476,0.7071067811865475
